Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,01/05/2020,01/11/2020,New Hampshire,All Ages,267,21,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,New Jersey,All Ages,1602,105,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,New Mexico,All Ages,424,35,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,New York,All Ages,2139,197,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,New York City,All Ages,1114,98,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,North Carolina,All Ages,1985,147,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,North Dakota,All Ages,147,13,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Ohio,All Ages,2633,172,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Oklahoma,All Ages,855,78,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Oregon,All Ages,764,43,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Pennsylvania,All Ages,2812,172,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Rhode Island,All Ages,199,22,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,South Carolina,All Ages,1111,79,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,South Dakota,All Ages,159,15,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Tennessee,All Ages,1601,172,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Texas,All Ages,4486,415,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Utah,All Ages,427,24,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Vermont,All Ages,116,,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Virginia,All Ages,1566,94,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Washington,All Ages,1248,91,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,West Virginia,All Ages,491,40,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Wisconsin,All Ages,1076,69,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Wyoming,All Ages,89,,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,HHS Region 1,All Ages,2774,205,Jan-2020,,,,,,
